periodo;edades;Hombres;Mujeres;fuente
1908;51;-82473.880000000005;94941.630000000005;HMD
1908;52;-89106.729999999996;92774.729999999996;HMD
1908;53;-86192.710000000006;96246.449999999997;HMD
1908;54;-64983.059999999998;68784.259999999995;HMD
1908;55;-82041.839999999997;93167.309999999998;HMD
1908;56;-62057.830000000002;62016.459999999999;HMD
1908;57;-142061.81;183134.45000000001;HMD
1908;58;-56014.260000000002;54668.580000000002;HMD
1908;59;-71236.899999999994;74594.020000000004;HMD
1908;60;-57943.800000000003;58677.769999999997;HMD
1908;61;-65616.649999999994;71498.559999999998;HMD
1908;62;-67360.020000000004;73687.279999999999;HMD
1908;63;-62110.68;64451.010000000002;HMD
1908;64;-49683.550000000003;49814.239999999998;HMD
1908;65;-53749.199999999997;60573.25;HMD
1908;66;-37187.080000000002;38223;HMD
1908;67;-77579.729999999996;96271.649999999994;HMD
1908;68;-30236.759999999998;30113.040000000001;HMD
1908;69;-35329.089999999997;38028.910000000003;HMD
1908;70;-27724.93;28110.5;HMD
1908;71;-29347.610000000001;30285.73;HMD
1908;72;-29975.330000000002;32311.959999999999;HMD
1908;73;-25770.09;28397.02;HMD
1908;74;-21192.959999999999;21775.5;HMD
1908;75;-21700.529999999999;23774.169999999998;HMD
1908;76;-14476.299999999999;15527.780000000001;HMD
1908;77;-26273.810000000001;37367.860000000001;HMD
1908;78;-12273.98;14334;HMD
1908;79;-12271.75;15094.34;HMD
1908;80;-13080.83;17995.740000000002;HMD
1908;81;-10697.84;14899.610000000001;HMD
1908;82;-9375.3500000000004;13464.459999999999;HMD
1908;83;-8019.6099999999997;11774;HMD
1908;84;-6485.4700000000003;9865.3500000000004;HMD
1908;85;-4976.04;7893.2399999999998;HMD
1908;86;-3963.9400000000001;6464.9399999999996;HMD
1908;87;-3239.5999999999999;5375.5699999999997;HMD
1908;88;-2535.98;4332.7600000000002;HMD
1908;89;-1798.3499999999999;3389.6500000000001;HMD
1908;90;-1203.9000000000001;2472.4299999999998;HMD
1908;91;-833.5;1792.8800000000001;HMD
1908;92;-678.00999999999999;1529.04;HMD
1908;93;-531.66999999999996;1217.04;HMD
1908;94;-385.72000000000003;911.25;HMD
1908;95;-278.06;683.19000000000005;HMD
1908;96;-186.15000000000001;503.49000000000001;HMD
1908;97;-114.01000000000001;333.86000000000001;HMD
1908;98;-94.099999999999994;279.63999999999999;HMD
1908;99;-38.549999999999997;159.72;HMD
1908;100+;-64.599999999999994;259.47000000000003;HMD
1909;0;-300684.53000000003;288052.29999999999;HMD
1909;1;-270419.89000000001;264529.16999999998;HMD
1909;2;-252347.45000000001;250439.48999999999;HMD
1909;3;-245836.07999999999;239102.51999999999;HMD
1909;4;-244216.26999999999;243144.62;HMD
1909;5;-242628.57000000001;239992.87;HMD
1909;6;-244042.92000000001;239996.23000000001;HMD
1909;7;-219023.56;215121.29000000001;HMD
1909;8;-235798.98999999999;235178.42999999999;HMD
1909;9;-196633.69;193976.45000000001;HMD
1909;10;-220408.44;222077.39999999999;HMD
1909;11;-197877.91;197779.42000000001;HMD
1909;12;-203265.32000000001;202250.06;HMD
1909;13;-181299.32000000001;186894.35000000001;HMD
1909;14;-174526.84;187370.17000000001;HMD
1909;15;-174177.62;178577.53;HMD
1909;16;-184718.48999999999;205689.25;HMD
1909;17;-149248.76999999999;165274.51999999999;HMD
1909;18;-157982.31;203913.97;HMD
1909;19;-140917.73999999999;146877.32999999999;HMD
1909;20;-171261.78;181366.72;HMD
1909;21;-164207.13;160997.87;HMD
1909;22;-153538.31;175761.97;HMD
1909;23;-151459.07000000001;172010.10000000001;HMD
1909;24;-148556.60999999999;164261.89000000001;HMD
1909;25;-135733.34;140868.57999999999;HMD
1909;26;-150846.32000000001;170680.56;HMD
1909;27;-118043.62;124274.81;HMD
1909;28;-185410.01000000001;223919.57999999999;HMD
1909;29;-98047.699999999997;99877.679999999993;HMD
1909;30;-133692.98000000001;144813.07000000001;HMD
1909;31;-121603.41;124478.28;HMD
1909;32;-123748.53999999999;137607.39999999999;HMD
1909;33;-126357.47;138054.51000000001;HMD
1909;34;-126367.3;144915.53;HMD
1909;35;-104136.28;111411.36;HMD
1909;36;-126627.89999999999;139837.17000000001;HMD
1909;37;-96875.160000000003;99138.369999999995;HMD
1909;38;-193079.57000000001;218763.76999999999;HMD
1909;39;-77864.919999999998;78121.509999999995;HMD
1909;40;-112342.74000000001;117792.12;HMD
1909;41;-87781.389999999999;90901.350000000006;HMD
1909;42;-106941.46000000001;114825.37;HMD
1909;43;-123239;123932.81;HMD
1909;44;-103194.71000000001;113004.96000000001;HMD
1909;45;-83953.350000000006;86905.520000000004;HMD
1909;46;-109553.44;120479.66;HMD
1909;47;-83690.479999999996;82457.119999999995;HMD
1909;48;-173376.34;202201.48000000001;HMD
1909;49;-68343.470000000001;65461.129999999997;HMD
1909;50;-90035.440000000002;94387.169999999998;HMD
1909;51;-69273.289999999994;69438.619999999995;HMD
1909;52;-81210.440000000002;93916.649999999994;HMD
1909;53;-87634.839999999997;91569.720000000001;HMD
1909;54;-84659.779999999999;95027.509999999995;HMD
1909;55;-63226.739999999998;67273.820000000007;HMD
1909;56;-80170.899999999994;91542.639999999999;HMD
1909;57;-60275.169999999998;60567.870000000003;HMD
1909;58;-140203.38;181586.45000000001;HMD
1909;59;-54135.790000000001;53146.849999999999;HMD
1909;60;-68568.889999999999;71728.889999999999;HMD
1909;61;-55235.93;55630.830000000002;HMD
1909;62;-63567.629999999997;69760.910000000003;HMD
1909;63;-64960.589999999997;71569.869999999995;HMD
1909;64;-59631.080000000002;62207.75;HMD
1909;65;-46781.32;47088.699999999997;HMD
1909;66;-50860.779999999999;57774.949999999997;HMD
1909;67;-34676.300000000003;35873.879999999997;HMD
1909;68;-75027.580000000002;93936.830000000002;HMD
1909;69;-27949.330000000002;28036.57;HMD
1909;70;-32275.5;34473.540000000001;HMD
1909;71;-24626.130000000001;24270.580000000002;HMD
1909;72;-27324.380000000001;28272.610000000001;HMD
1909;73;-27590.57;29963.59;HMD
1909;74;-23431.41;26156.639999999999;HMD
1909;75;-18549.07;18990.400000000001;HMD
1909;76;-19157.57;21060.77;HMD
1909;77;-12289.52;13400.690000000001;HMD
1909;78;-23920.290000000001;35062.879999999997;HMD
1909;79;-10185.1;12228.780000000001;HMD
1909;80;-13356.620000000001;18534.880000000001;HMD
1909;81;-10796.940000000001;14939.15;HMD
1909;82;-9405.0900000000001;13410.379999999999;HMD
1909;83;-7935.3000000000002;11820.73;HMD
1909;84;-6647.5500000000002;10191.23;HMD
1909;85;-5125.9499999999998;8143.6999999999998;HMD
1909;86;-3937.9499999999998;6506.25;HMD
1909;87;-3152.8099999999999;5397.6800000000003;HMD
1909;88;-2529.3099999999999;4489.9700000000003;HMD
1909;89;-1955.6300000000001;3608.8800000000001;HMD
1909;90;-1347.8399999999999;2620.9099999999999;HMD
1909;91;-883.86000000000001;1851.24;HMD
1909;92;-686.73000000000002;1540.3399999999999;HMD
1909;93;-534.39999999999998;1259.51;HMD
1909;94;-420.00999999999999;980.74000000000001;HMD
1909;95;-298.39999999999998;692.33000000000004;HMD
1909;96;-198.34999999999999;494;HMD
1909;97;-127.61;363.56;HMD
1909;98;-75.409999999999997;231.09;HMD
1909;99;-66.590000000000003;201.06;HMD
1909;100+;-63.590000000000003;273.36000000000001;HMD
1910;0;-260754.10000000001;250885.22;HMD
1910;1;-268735.97999999998;260912.51999999999;HMD
1910;2;-255436.20999999999;250455.51999999999;HMD
1910;3;-243874.87;242374.84;HMD
1910;4;-240809.95000000001;234148.81;HMD
1910;5;-240929.48000000001;239909.64999999999;HMD
1910;6;-240271.42999999999;237646.29999999999;HMD
1910;7;-242295.75;238230.47;HMD
1910;8;-217818.35999999999;213941.98999999999;HMD
1910;9;-234895.35999999999;234309.39000000001;HMD
1910;10;-195876.12;193249.54999999999;HMD
1910;11;-219729.41;221374.19;HMD
1910;12;-197222.19;197108.14999999999;HMD
1910;13;-202614.67000000001;201554.73000000001;HMD
1910;14;-180630;186118.78;HMD
1910;15;-173827.59;186522.60000000001;HMD
1910;16;-173432.87;177641.98999999999;HMD
1910;17;-183838.85000000001;204646.78;HMD
1910;18;-148175.57000000001;164149.26000000001;HMD
1910;19;-156833.10000000001;202821.78;HMD
1910;20;-139721.94;145797.17999999999;HMD
1910;21;-170109.89999999999;180247.42000000001;HMD
1910;22;-162972.57000000001;159747.20999999999;HMD
1910;23;-152211.34;174415.92000000001;HMD
1910;24;-150211.62;170728.41;HMD
1910;25;-147358.51999999999;162959.10999999999;HMD
1910;26;-134623.95999999999;139575.19;HMD
1910;27;-149808.12;169467.63;HMD
1910;28;-116965.07000000001;123011.73;HMD
1910;29;-184412.79000000001;222729.45000000001;HMD
1910;30;-96973.130000000005;98488.919999999998;HMD
1910;31;-132657.98000000001;143467.57999999999;HMD
1910;32;-120635.00999999999;123402.34;HMD
1910;33;-122629.50999999999;136345.34;HMD
1910;34;-125295.53;136834.35000000001;HMD
1910;35;-125257.13;143661.13;HMD
1910;36;-102976.35000000001;110100.2;HMD
1910;37;-125574.00999999999;138670.64000000001;HMD
1910;38;-95775.960000000006;98011.110000000001;HMD
1910;39;-192005.10999999999;217677.70000000001;HMD
1910;40;-76494.990000000005;76643.660000000003;HMD
1910;41;-111018.47;116344.17;HMD
1910;42;-86702.360000000001;89922.050000000003;HMD
1910;43;-105695.46000000001;113752.96000000001;HMD
1910;44;-122045.34;122921.69;HMD
1910;45;-101706.05;111730.27;HMD
1910;46;-82380.729999999996;85613.139999999999;HMD
1910;47;-108190.37;119431.49000000001;HMD
1910;48;-82194.979999999996;81353.449999999997;HMD
1910;49;-171853.07000000001;201080.01999999999;HMD
1910;50;-66473.210000000006;63791.410000000003;HMD
1910;51;-88226.330000000002;92697.149999999994;HMD
1910;52;-67850.089999999997;68304.350000000006;HMD
1910;53;-79656.919999999998;92672.309999999998;HMD
1910;54;-86051.029999999999;90249.860000000001;HMD
1910;55;-82726.410000000003;93358.529999999999;HMD
1910;56;-61173.879999999997;65523.279999999999;HMD
1910;57;-78338.509999999995;90016.25;HMD
1910;58;-58416.07;58956.519999999997;HMD
1910;59;-138209.35999999999;179925.87;HMD
1910;60;-51200.879999999997;50135.949999999997;HMD
1910;61;-65634.130000000005;68582.990000000005;HMD
1910;62;-53069.82;53790.660000000003;HMD
1910;63;-61021.010000000002;67507.929999999993;HMD
1910;64;-62272.959999999999;69106.300000000003;HMD
1910;65;-56540.849999999999;59201.660000000003;HMD
1910;66;-43693.099999999999;44090.57;HMD
1910;67;-48167.370000000003;55235.940000000002;HMD
1910;68;-31992.029999999999;33299.699999999997;HMD
1910;69;-72559.610000000001;91579.889999999999;HMD
1910;70;-24576.369999999999;24170.040000000001;HMD
1910;71;-28885.119999999999;30462.93;HMD
1910;72;-22387.82;22064.990000000002;HMD
1910;73;-24782.119999999999;25609.380000000001;HMD
1910;74;-25128.48;27509.549999999999;HMD
1910;75;-20548.299999999999;23259.529999999999;HMD
1910;76;-15749.389999999999;16066.41;HMD
1910;77;-16857.880000000001;18741.040000000001;HMD
1910;78;-9892.9300000000003;11039.4;HMD
1910;79;-21730.169999999998;32869.470000000001;HMD
1910;80;-13581.49;18959.619999999999;HMD
1910;81;-10940.120000000001;15272.559999999999;HMD
1910;82;-9394.7700000000004;13370.030000000001;HMD
1910;83;-7937.7399999999998;11671.08;HMD
1910;84;-6549.21;10062.860000000001;HMD
1910;85;-5202.8999999999996;8273.8500000000004;HMD
1910;86;-3990.0999999999999;6632.1400000000003;HMD
1910;87;-3065.5100000000002;5387.5200000000004;HMD
1910;88;-2415.8400000000001;4430.5200000000004;HMD
1910;89;-1923.0599999999999;3657.6399999999999;HMD
1910;90;-1408;2751.3499999999999;HMD
1910;91;-961.36000000000001;1941.8399999999999;HMD
1910;92;-728.45000000000005;1559.26;HMD
1910;93;-548.99000000000001;1259.6900000000001;HMD
1910;94;-423.47000000000003;1022.12;HMD
1910;95;-311.41000000000003;745.33000000000004;HMD
1910;96;-207.28;495.92000000000002;HMD
1910;97;-137.25999999999999;341.97000000000003;HMD
1910;98;-85.540000000000006;239.56999999999999;HMD
1910;99;-44.850000000000001;145.02000000000001;HMD
1910;100+;-74.620000000000005;311.55000000000001;HMD
1911;0;-225450;218053;HMD
1911;1;-230381;224981;HMD
1911;2;-254211;247257;HMD
1911;3;-247178;242499;HMD
1911;4;-239197;237691;HMD
1911;5;-237756;231152;HMD
1911;6;-238681;237758;HMD
1911;7;-238600;235976;HMD
1911;8;-241088;237023;HMD
1911;9;-216906;213030;HMD
1911;10;-234102;233527;HMD
1911;11;-195163;192548;HMD
1911;12;-219090;220724;HMD
1911;13;-196616;196434;HMD
1911;14;-202007;200824;HMD
1911;15;-179953;185273;HMD
1911;16;-173089;185599;HMD
1911;17;-172549;176622;HMD
1911;18;-182758;203549;HMD
1911;19;-147052;163061;HMD
1911;20;-155726;201656;HMD
1911;21;-138637;144628;HMD
1911;22;-168953;179033;HMD
1911;23;-161722;158446;HMD
1911;24;-151027;173168;HMD
1911;25;-149101;169468;HMD
1911;26;-146265;161719;HMD
1911;27;-133594;138388;HMD
1911;28;-148763;168231;HMD
1911;29;-116013;121849;HMD
1911;30;-183402;221438;HMD
1911;31;-95998;97280;HMD
1911;32;-131779;142448;HMD
1911;33;-119590;122184;HMD
1911;34;-121572;135135;HMD
1911;35;-124217;135542;HMD
1911;36;-124136;142326;HMD
1911;37;-101918;108941;HMD
1911;38;-124456;137542;HMD
1911;39;-94718;96911;HMD
1911;40;-190700;216251;HMD
1911;41;-75170;75268;HMD
1911;42;-109908;115405;HMD
1911;43;-85509;88925;HMD
1911;44;-104564;112743;HMD
1911;45;-120581;121659;HMD
1911;46;-100190;110477;HMD
1911;47;-81120;84557;HMD
1911;48;-106807;118337;HMD
1911;49;-80744;80262;HMD
1911;50;-169997;199449;HMD
1911;51;-64689;62152;HMD
1911;52;-86859;91592;HMD
1911;53;-66339;67074;HMD
1911;54;-78119;91423;HMD
1911;55;-84168;88654;HMD
1911;56;-80732;91571;HMD
1911;57;-59372;63935;HMD
1911;58;-76499;88462;HMD
1911;59;-56569;57425;HMD
1911;60;-135293;176985;HMD
1911;61;-48142;46965;HMD
1911;62;-63474;66745;HMD
1911;63;-50596;51600;HMD
1911;64;-58434;65158;HMD
1911;65;-59168;66201;HMD
1911;66;-53371;56223;HMD
1911;67;-40935;41632;HMD
1911;68;-45468;52790;HMD
1911;69;-29547;31026;HMD
1911;70;-69062;87689;HMD
1911;71;-21055;20014;HMD
1911;72;-26574;28222;HMD
